date,name,country
2022-01-01,New Year's Day,KR
2022-02-01,Korean New Year,KR
2022-01-31,The day preceding Korean New Year,KR
2022-02-02,The second day of Korean New Year,KR
2022-03-01,Independence Movement Day,KR
2022-05-08,Buddha's Birthday,KR
2022-05-05,Children's Day,KR
2022-06-06,Memorial Day,KR
2022-08-15,Liberation Day,KR
2022-10-03,National Foundation Day,KR
2022-10-09,Hangul Day,KR
2022-09-10,Chuseok,KR
2022-09-09,The day preceding Chuseok,KR
2022-09-11,The second day of Chuseok,KR
2022-12-25,Christmas Day,KR
2022-03-09,Presidential Election Day,KR
2022-06-01,Local Election Day,KR
2022-09-12,Alternative holiday for Chuseok,KR
2022-10-10,Alternative holiday for Hangul Day,KR
