month,spot
2022-01-31,1101.8283024785267
2022-02-28,1095.5883978410836
2022-03-31,1100.0911050159223
2022-04-30,1105.7344933142697
2022-05-31,1094.0282821823466
2022-06-30,1086.2152051411726
2022-07-31,1086.9822475601763
2022-08-31,1085.0847920061149
2022-09-30,1084.9839850610892
2022-10-31,1079.8657214956477
2022-11-30,1085.1421093448248
2022-12-31,1089.8088609573983
2023-01-31,1090.2050451427656
2023-02-28,1096.968492384574
2023-03-31,1099.7735484380862
2023-04-30,1094.6177936607867
2023-05-31,1096.8302983652818
2023-06-30,1091.0770027603078
2023-07-31,1096.3477045681514
2023-08-31,1096.0481491022338
2023-09-30,1094.9389749209622
2023-10-31,1090.8533976545386
2023-11-30,1098.1886456865827
2023-12-31,1097.26146879417
2024-01-31,1094.6915018611915
2024-02-29,1092.578700558262
2024-03-31,1095.772555671582
2024-04-30,1097.9652200577666
2024-05-31,1100.4416157273424
2024-06-30,1103.0265417453897
2024-07-31,1115.8764273506126
2024-08-31,1113.437937252305
2024-09-30,1110.3644808778756
2024-10-31,1105.4818445083883
2024-11-30,1109.1777210438413
2024-12-31,1115.9515548001666
