month,rate
2022-01-31,0.044908054771399836
2022-02-28,0.04495777084580521
2022-03-31,0.04497201341941227
2022-04-30,0.045041061954819044
2022-05-31,0.044998336690185395
2022-06-30,0.04501419065929307
2022-07-31,0.0450767496986898
2022-08-31,0.045045815044717774
2022-09-30,0.045091492568473515
2022-10-31,0.04502529997436685
2022-11-30,0.04498899458971034
2022-12-31,0.04495082080031051
2023-01-31,0.0448312368357516
2023-02-28,0.04487993408383017
2023-03-31,0.04483299384980989
2023-04-30,0.044834243261682664
2023-05-31,0.04488231792757325
2023-06-30,0.04492697104517625
2023-07-31,0.04499350955607353
2023-08-31,0.044983661007622584
2023-09-30,0.044941331176418166
2023-10-31,0.04493335935532753
2023-11-30,0.04476462591193173
2023-12-31,0.04461991466468942
2024-01-31,0.044487644703453975
2024-02-29,0.044387920020693826
2024-03-31,0.04442789744336617
2024-04-30,0.04433734953783017
2024-05-31,0.04429953328242622
2024-06-30,0.044429456112204835
2024-07-31,0.04439382971509869
2024-08-31,0.044467581271945396
2024-09-30,0.04437421950394441
2024-10-31,0.04435367574815765
2024-11-30,0.04425867354266659
2024-12-31,0.04422477023507653
