month,rate
2022-01-31,0.034988605254234514
2022-02-28,0.034904589606538264
2022-03-31,0.03482214148496914
2022-04-30,0.03488720076375161
2022-05-31,0.034961526180871956
2022-06-30,0.03501584160770247
2022-07-31,0.03494929063697361
2022-08-31,0.03497250676928028
2022-09-30,0.034984175350194345
2022-10-31,0.03500604420986725
2022-11-30,0.03509318708766207
2022-12-31,0.03511554664253954
2023-01-31,0.035183437998846726
2023-02-28,0.03519019590579561
2023-03-31,0.035219107845664614
2023-04-30,0.035282236668248465
2023-05-31,0.035136521086262903
2023-06-30,0.03510455396462717
2023-07-31,0.03505751669919789
2023-08-31,0.034993628914373555
2023-09-30,0.03496611468925089
2023-10-31,0.03511560882037433
2023-11-30,0.035029025708805006
2023-12-31,0.03512585354426415
2024-01-31,0.03495756656710257
2024-02-29,0.034924078064104
2024-03-31,0.0349403533706145
2024-04-30,0.03499897560375042
2024-05-31,0.03507009826172971
2024-06-30,0.0351494329852497
2024-07-31,0.03511456047802486
2024-08-31,0.0350683252987584
2024-09-30,0.03515412288688412
2024-10-31,0.035134992454395955
2024-11-30,0.035007423822062164
2024-12-31,0.03489409510066181
